;#;FORM;LEMMA;GRAM;COMMENT;CHECKED;CONTEXT;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAM;
21393;;и;И;PART;;;в Нью-Йорке они _и_ побогаче будут .;и;;;;;;CONJ;И;CONJ;И
21394;;побогаче;БОГАТЫЙ;A comp2 - - - - -;;;Нью-Йорке они и _побогаче_ будут . ;е;ч;а;г;о;б;A;БОГАТЫЙ;A comp - - plen - -;Й
21395;;будут;БЫТЬ;V ipf praes pl indic - 3p;;;они и побогаче _будут_ .  ;т;у;д;у;б;;V;БЫТЬ;V ipf praes pl indic - 3p;Ь
21396;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21397;;;;;;;;;;;;;;;;;
21398;# sent = 1519;;;;;;;;;;;;;;;;
21399;;И;И;CONJ;;;.   _И_ даже не парижанки;и;;;;;;CONJ;И;CONJ;И
21400;;даже;ДАЖЕ;PART;;;  И _даже_ не парижанки -;е;ж;а;д;;;PART;ДАЖЕ;PART;Е
21401;;не;НЕ;PART;;; И даже _не_ парижанки - голландки;е;н;;;;;PART;НЕ;PART;Е
21402;;парижанки;ПАРИЖАНКА;S f anim nom pl;;;И даже не _парижанки_ - голландки ,;и;к;н;а;ж;и;S;ПАРИЖАНКА;S f anim nom pl;А
21403;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
21404;;голландки;ГОЛЛАНДКА;S - anim nom pl;;;не парижанки - _голландки_ , они поинтереснее;и;к;д;н;а;л;S;ГОЛЛАНДКА;S f anim gen sg;А
21405;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21406;;они;ОНИ;SPRO pl - - nom;;;- голландки , _они_ поинтереснее будут .;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom;И
21407;;поинтереснее;ИНТЕРЕСНО;ADV comp2;;;голландки , они _поинтереснее_ будут . ;е;е;н;с;е;р;ADV;ИНТЕРЕСНО;ADV comp;О
21408;;будут;БЫТЬ;V ipf praes pl indic - 3p;;;, они поинтереснее _будут_ .  ;т;у;д;у;б;;V;БЫТЬ;V ipf praes pl indic - 3p;Ь
21409;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21410;;;;;;;;;;;;;;;;;
21411;# sent = 1520;;;;;;;;;;;;;;;;
21412;;И;И;CONJ;;;.   _И_ даже себе представляете;и;;;;;;CONJ;И;CONJ;И
21413;;даже;ДАЖЕ;PART;;;  И _даже_ себе представляете ,;е;ж;а;д;;;PART;ДАЖЕ;PART;Е
21414;;себе;СЕБЯ;SPRO - - - dat;;; И даже _себе_ представляете , не;е;б;е;с;;;SPRO;СЕБЯ;SPRO - - - dat;Я
21415;;представляете;ПРЕДСТАВЛЯТЬ;V ipf praes pl indic - 2p;;;И даже себе _представляете_ , не парижский;е;т;е;я;л;в;V;ПРЕДСТАВЛЯТЬ;V ipf praes pl indic - 2p;Ь
21416;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21417;;не;НЕ;PART;;;себе представляете , _не_ парижский Диснейленд .;е;н;;;;;PART;НЕ;PART;Е
21418;;парижский;ПАРИЖСКИЙ;A - nom sg plen m -;;;представляете , не _парижский_ Диснейленд . ;й;и;к;с;ж;и;A;ПАРИЖСКИЙ;A - nom sg plen m -;Й
21419;;Диснейленд;ДИСНЕЙЛЕНД;S m inan nom sg;;;, не парижский _Диснейленд_ .  ;д;н;е;л;й;е;S;ДИСНЕЙЛЕНД;S m inan nom sg;Д
21420;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21421;;;;;;;;;;;;;;;;;
21422;# sent = 1521;;;;;;;;;;;;;;;;
21423;;А;А;CONJ;;;.   _А_ та самая парижская;а;;;;;;CONJ;А;CONJ;А
21424;;та;ТОТ;APRO nom sg f ;;;  А _та_ самая парижская аура;а;т;;;;;A;ТОТ;A - nom sg plen f -;Т
21425;;самая;САМЫЙ;APRO nom sg f ;;; А та _самая_ парижская аура ,;я;а;м;а;с;;A;САМЫЙ;A - nom sg plen f -;Й
21426;;парижская;ПАРИЖСКИЙ;A - nom sg plen f -;;;А та самая _парижская_ аура , та;я;а;к;с;ж;и;A;ПАРИЖСКИЙ;A - nom sg plen f -;Й
21427;;аура;АУРА;S f inan nom sg;;;та самая парижская _аура_ , та особая;а;р;у;а;;;S;АУРА;S f inan nom sg;А
21428;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21429;;та;ТОТ;APRO nom sg f ;;;парижская аура , _та_ особая атмосфера этого;а;т;;;;;A;ТОТ;A - nom sg plen f -;Т
21430;;особая;ОСОБЫЙ;A - nom sg plen f -;;;аура , та _особая_ атмосфера этого города;я;а;б;о;с;о;A;ОСОБЫЙ;A - nom sg plen f -;Й
21431;;атмосфера;АТМОСФЕРА;S f inan nom sg;;;, та особая _атмосфера_ этого города ,;а;р;е;ф;с;о;S;АТМОСФЕРА;S f inan nom sg;А
21432;;этого;ЭТОТ;APRO - gen sg plen m -;;;та особая атмосфера _этого_ города , атмосфера;о;г;о;т;э;;APRO;ЭТОТ;A - acc sg plen m anim;Т
21433;;города;ГОРОД;S m inan gen sg;;;особая атмосфера этого _города_ , атмосфера легкости;а;д;о;р;о;г;S;ГОРОД;S m inan gen sg;Д
21434;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21435;;атмосфера;АТМОСФЕРА;S f inan nom sg;;;этого города , _атмосфера_ легкости , влюблённости;а;р;е;ф;с;о;S;АТМОСФЕРА;S f inan nom sg;А
21436;;легкости;ЛЕГКОСТЬ;S f inan gen sg;;;города , атмосфера _легкости_ , влюблённости ,;и;т;с;о;к;г;S;ЛЕГКОСТЬ;S f inan loc sg;Ь
21437;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21438;;влюблённости;ВЛЮБЛЕННОСТЬ;S f inan gen sg;;;атмосфера легкости , _влюблённости_ , атмосфера праздника;и;т;с;о;н;н;S;ВЛЮБЛЕННОСТЬ;S f inan gen sg;Ь
21439;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21440;;атмосфера;АТМОСФЕРА;S f inan nom sg;;;, влюблённости , _атмосфера_ праздника . ;а;р;е;ф;с;о;S;АТМОСФЕРА;S f inan nom sg;А
21441;;праздника;ПРАЗДНИК;S m inan gen sg;;;влюблённости , атмосфера _праздника_ .  ;а;к;и;н;д;з;S;ПРАЗДНИК;S m inan gen sg;К
21442;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21443;;;;;;;;;;;;;;;;;
21444;# sent = 1522;;;;;;;;;;;;;;;;
21445;;Праздника;ПРАЗДНИК;S m inan gen sg;;;.   _Праздника_ , который всегда;а;к;и;н;д;з;S;ПРАЗДНИК;S m inan gen sg;К
21446;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21447;;который;КОТОРЫЙ;APRO - nom sg plen m -;;; Праздника , _который_ всегда с тобой;й;ы;р;о;т;о;APRO;КОТОРЫЙ;A - nom sg plen m -;Й
21448;;всегда;ВСЕГДА;ADVPRO;;;Праздника , который _всегда_ с тобой .;а;д;г;е;с;в;ADV;ВСЕГДА;ADV -;А
21449;;с;С;PR;;;, который всегда _с_ тобой . ;с;;;;;;PR;С;PR;С
21450;;тобой;ТЫ;SPRO sg 2p - ins;;;который всегда с _тобой_ .  ;й;о;б;о;т;;SPRO;ТЫ;SPRO sg 2p - ins;Ы
21451;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21452;;;;;;;;;;;;;;;;;
21453;# sent = 1523;;;;;;;;;;;;;;;;
21454;;Если;ЕСЛИ;CONJ;;;.   _Если_ бы это сказал;и;л;с;е;;;CONJ;ЕСЛИ;CONJ;И
21455;;бы;БЫ;PART;;;  Если _бы_ это сказал не;ы;б;;;;;PART;БЫ;PART;Ы
21456;;это;ЭТО;SPRO n - acc sg;;; Если бы _это_ сказал не Хемингуэй;о;т;э;;;;SPRO;ЭТО;S n inan acc sg;О
21457;;сказал;СКАЗАТЬ;V pf praet sg indic m -;;;Если бы это _сказал_ не Хемингуэй в;л;а;з;а;к;с;V;СКАЗАТЬ;V pf praet sg indic m -;Ь
21458;;не;НЕ;PART;;;бы это сказал _не_ Хемингуэй в своё;е;н;;;;;PART;НЕ;PART;Е
21459;;Хемингуэй;ХЕМИНГУЭЙ;S m anim nom sg famn;;;это сказал не _Хемингуэй_ в своё время;й;э;у;г;н;и;S;ХЕМИНГУЭЙ;S m anim nom sg;Й
21460;;в;В;PR;;;сказал не Хемингуэй _в_ своё время ,;в;;;;;;PR;В;PR;В
21461;;своё;СВОЙ;APRO - acc sg plen n inan;;;не Хемингуэй в _своё_ время , наверное;ё;о;в;с;;;APRO;СВОЙ;A - acc sg plen n inan;Й
21462;;время;ВРЕМЯ;S n inan acc sg;;;Хемингуэй в своё _время_ , наверное ,;я;м;е;р;в;;S;ВРЕМЯ;S n inan acc sg;Я
21463;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21464;;наверное;НАВЕРНОЕ;PARENTH;;;своё время , _наверное_ , сказала бы;е;о;н;р;е;в;ADV;НАВЕРНОЕ;ADV -;Е
21465;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21466;;сказала;СКАЗАТЬ;V pf praet sg indic f -;;;, наверное , _сказала_ бы я .;а;л;а;з;а;к;V;СКАЗАТЬ;V pf praet sg indic f -;Ь
21467;;бы;БЫ;PART;;;наверное , сказала _бы_ я . ;ы;б;;;;;PART;БЫ;PART;Ы
21468;;я;Я;SPRO sg 1p - nom;;;, сказала бы _я_ .  ;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
21469;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21470;;;;;;;;;;;;;;;;;
21471;# sent = 1524;;;;;;;;;;;;;;;;
21472;# speaker = Ольга;;;;;;;;;;;;;;;;
21473;# sent = 1525;;;;;;;;;;;;;;;;
21474;;Город;ГОРОД;S m inan nom sg;;;   _Город_ принимает тебя с;д;о;р;о;г;;S;ГОРОД;S m inan nom sg;Д
21475;;принимает;ПРИНИМАТЬ;V ipf praes sg indic - 3p;;;  Город _принимает_ тебя с самой;т;е;а;м;и;н;V;ПРИНИМАТЬ;V ipf praes sg indic - 3p;Ь
21476;;тебя;ТЫ;SPRO sg 2p - acc;;; Город принимает _тебя_ с самой первой;я;б;е;т;;;SPRO;ТЫ;SPRO sg 2p - acc;Ы
21477;;с;С;PR;;;Город принимает тебя _с_ самой первой минуты;с;;;;;;PR;С;PR;С
21478;;самой;САМЫЙ;APRO gen sg plen f ;;;принимает тебя с _самой_ первой минуты ,;й;о;м;а;с;;A;САМЫЙ;A - loc sg plen f -;Й
21479;;первой;ПЕРВЫЙ;ANUM - gen sg plen f -;;;тебя с самой _первой_ минуты , и;й;о;в;р;е;п;A;ПЕРВЫЙ;A - loc sg plen f -;Й
21480;;минуты;МИНУТА;S f inan gen sg;;;с самой первой _минуты_ , и он;ы;т;у;н;и;м;S;МИНУТА;S f inan gen sg;А
21481;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21482;;и;И;CONJ;;;первой минуты , _и_ он обнимает тебя;и;;;;;;CONJ;И;CONJ;И
21483;;он;ОН;SPRO sg 3p m nom;;;минуты , и _он_ обнимает тебя как;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom;Н
21484;;обнимает;ОБНИМАТЬ;V ipf praes sg indic - 3p;;;, и он _обнимает_ тебя как своего;т;е;а;м;и;н;V;ОБНИМАТЬ;V ipf praes sg indic - 3p;Ь
21485;;тебя;ТЫ;SPRO sg 2p - acc;;;и он обнимает _тебя_ как своего старого;я;б;е;т;;;SPRO;ТЫ;SPRO sg 2p - acc;Ы
21486;;как;КАК;CONJ;;;он обнимает тебя _как_ своего старого доброго;к;а;к;;;;CONJ;КАК;CONJ;К
21487;;своего;СВОЙ;APRO - acc sg plen m -;;;обнимает тебя как _своего_ старого доброго друга;о;г;е;о;в;с;APRO;СВОЙ;A - gen sg plen m -;Й
21488;;старого;СТАРЫЙ;A - acc sg plen m -;;;тебя как своего _старого_ доброго друга .;о;г;о;р;а;т;A;СТАРЫЙ;A - gen sg plen m -;Й
21489;;доброго;ДОБРЫЙ;A - acc sg plen m -;;;как своего старого _доброго_ друга . ;о;г;о;р;б;о;A;ДОБРЫЙ;A - gen sg plen m -;Й
21490;;друга;ДРУГ;S m anim acc sg;;;своего старого доброго _друга_ .  ;а;г;у;р;д;;S;ДРУГ;S m anim gen sg;Г
21491;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21492;;;;;;;;;;;;;;;;;
21493;# sent = 1526;;;;;;;;;;;;;;;;
21494;;Ты;ТЫ;SPRO sg 2p - nom;;;.   _Ты_ не чувствуешь себя;ы;т;;;;;SPRO;ТЫ;SPRO sg 2p - nom;Ы
21495;;не;НЕ;PART;;;  Ты _не_ чувствуешь себя туристом;е;н;;;;;PART;НЕ;PART;Е
